Material,Texto breve de material,Centro,Almacén,Lote,Clase de valoración,Unidad medida base,Cantidad,Clase de movimiento,Stock especial,Nº reserva,Nº pos.reserva traslado,Documento material,Fe.contabilización,Hora de entrada,Nombre del usuario,Carta de porte,Referencia,Orden,Grafo,Operación,Centro de coste,Elemento PEP,Elemento PEP,Indicador Debe/Haber
090000000080,"ARENA RESINADA CURABLE 16/30 X1,5TN",AR01,CD01,NUEVO,NUEVO,UN,"-3,000",281,,8946314,8,4903696168,13/9/2023,1:26:57 a. m.,XSEA02,,0095R00419398,,2000043089,0002,,,,H
360206023200,"TBG SC J55 2.7/8"" 6,5L/P EUE 8RD 2",AR01,CD02,MUY BUENO,USADO,UN,"-120,000",261,,9176416,23,4903696208,13/9/2023,12:38:40 a. m.,XROP01,,0095R00419395,22816661,,,,,,H
360506023200,"TBG SC N80 2.7/8"" 6,5L/P 8RD CC 2",AR01,CD01,NUEVO,NUEVO,UN,"-130,000",281,,9023142,2,4903696209,13/9/2023,12:41:16 a. m.,XROP01,,0095R00419396,,2000043193,0002,,,,H
390502066900,"CUPLA TBG SC J55 2.7/8"" UPSET",AR01,CD13,NUEVO,NUEVO,UN,"-5,000",261,K,9176416,25,4903696208,13/9/2023,12:38:40 a. m.,XROP01,,0095R00419395,22816661,,,,,,H
390600068000,"PUP JOINT 2.3/8""X2' J55 4,7L/P EUE 8RD",AR01,CD01,NUEVO,NUEVO,UN,"-2,000",281,,9282069,40,4903696230,13/9/2023,12:42:19 a. m.,XROP01,,0095R00419397,,2000043585,0007,,,,H
750106023400,JTA ANILLO P/BRIDA RX-45 AC CARB API 6A,AR01,CD01,NUEVO,NUEVO,UN,"-2,000",261,,9176416,24,4903696208,13/9/2023,12:38:40 a. m.,XROP01,,0095R00419395,22816661,,,,,,H
810605015100,"GRASA BESTOLIFE METAL-FREE X5KG P/D/CSG,",AR01,CD01,NUEVO,NUEVO,UN,"-2,000",261,,9176416,22,4903696208,13/9/2023,12:38:40 a. m.,XROP01,,0095R00419395,22816661,,,,,,H
950802013200,PROTEC D/ROSC PLAST D/TBG (PIN); CERRADO,AR01,CD13,NUEVO,NUEVO,UN,"-200,000",261,K,9176416,26,4903696208,13/9/2023,12:38:40 a. m.,XROP01,,0095R00419395,22816661,,,,,,H
000000000132,CMPR_TRANSPORTE GAS,AR01,,,,%,"5.585.713,300",101,,0,0,5002810026,12/9/2023,12:05:09 p. m.,XFXM97,,,,,,AR10CDZ860,,,S
000000000132,CMPR_TRANSPORTE GAS,AR01,,,,%,"3.275.168,780",101,,0,0,5002810004,12/9/2023,11:49:05 a. m.,XFXM97,,,,,,AR10CDZ860,,,S
